TH,TL,s,x/q0,y/q1,z/q2,bx/q4,by/acc_heading,bz,accuracy
0,49d08ae,10,5,0,-18,,,,0
0,49d08ae,11,15,-956,-289,-5,0,,
0,49d08ae,3,326305,178512,1068,,,,0
0,49d08ae,20,15,-957,-289,-5,0,,
0,49d2af7,4,286,-53,-28,,,,3
0,49d2af7,16,-305,793,-1220,-591,846,-1192,3
0,49d2af7,1,23,-21,-1015,0,0,0,0
0,49d2af7,15,5,240,-970,14,0,,0
0,49d2af7,9,18,-26,-999,,,,0
0,49d2af7,10,4,4,-15,,,,0
0,49d2af7,11,15,-956,-289,-5,0,,
0,49d2af7,3,326321,178512,1075,,,,0
0,49d2af7,20,15,-957,-289,-5,0,,
0,49d4d41,4,164,190,337,,,,3
0,49d4d41,16,-427,1037,-854,-591,846,-1192,3
0,49d4d41,1,7,-23,-1012,0,0,0,0
0,49d4d41,2,5256,-8047,40555,,,,3
0,49d4d41,14,-33450,-9750,23549,-38706,-1702,-17005,3
0,49d4d41,15,6,240,-970,14,0,,0
0,49d4d41,9,18,-26,-999,,,,0
0,49d4d41,10,-11,2,-13,,,,0
0,49d4d41,11,15,-956,-289,-5,0,,
0,49d4d41,3,326330,178512,1075,,,,0
0,49d4d41,20,15,-957,-289,-5,0,,
0,49d6f81,4,-385,7,32,,,,3
0,49d6f81,16,-976,854,-1159,-591,846,-1192,3
0,49d6f81,1,31,-31,-1016,0,0,0,0
0,49d6f81,15,6,240,-970,14,0,,0
0,49d6f81,9,18,-26,-999,,,,0
0,49d6f81,10,12,-5,-17,,,,0
0,49d6f81,11,15,-957,-289,-5,0,,
0,49d6f81,3,326340,178512,1075,,,,0
0,49d6f81,20,15,-957,-289,-5,0,,
0,49d91cc,4,-141,617,93,,,,3
0,49d91cc,16,-732,1464,-1098,-591,846,-1192,3
0,49d91cc,1,16,-24,-1022,0,0,0,0
0,49d91cc,2,4956,-5797,41155,,,,3
0,49d91cc,14,-33750,-7500,24149,-38706,-1702,-17005,3
0,49d91cc,15,6,240,-970,14,0,,0
0,49d91cc,9,18,-26,-999,,,,0
0,49d91cc,10,-2,1,-23,,,,0
0,49d91cc,11,15,-957,-289,-5,0,,
0,49d91cc,3,326346,178512,1075,,,,0
0,49d91cc,20,15,-957,-289,-5,0,,
0,49db412,4,-19,129,642,,,,3
0,49db412,16,-610,976,-549,-591,846,-1192,3
0,49db412,1,20,-26,-1014,0,0,0,0
0,49db412,15,6,240,-970,14,0,,0
0,49db412,9,18,-26,-999,,,,0
0,49db412,10,1,0,-14,,,,0
